path	rg	cs_prod	cs_test	sub_call	sub_fn_ptr	sub_serde	sub_string	sub_comment	a	b	c	comment
crates/adapters/postgres/tests/harness/integration_gap_repository.rs	10	0	0	10	0	0	0	0	0	0	10	0
crates/adapters/postgres/tests/harness/integration_margin_liquidation.rs	4	0	0	4	0	0	0	0	0	0	4	0
crates/adapters/postgres/tests/harness/integration_trade_repository.rs	12	0	0	12	0	0	0	0	0	0	12	0
crates/adapters/postgres/tests/harness/integration_workflow_run_repository.rs	2	0	0	2	0	0	0	0	0	0	2	0
crates/adapters/redis/src/alert_publisher.rs	1	1	0	1	0	0	0	0	1	0	0	0
crates/adapters/redis/src/dlq_sink.rs	1	0	0	1	0	0	0	0	0	1	0	0
crates/adapters/redis/src/risk_context_persistence.rs	1	1	0	1	0	0	0	0	1	0	0	0
crates/adapters/redis/tests/harness/backtest_progress_stream_test.rs	1	0	0	1	0	0	0	0	0	0	1	0
crates/adapters/redis/tests/harness/contract_circuit_breaker.rs	8	0	0	8	0	0	0	0	0	0	8	0
crates/adapters/redis/tests/harness/contract_price_cache.rs	1	0	0	1	0	0	0	0	0	0	1	0
crates/adapters/redis/tests/harness/contract_risk_context_persistence.rs	4	0	0	4	0	0	0	0	0	0	4	0
crates/adapters/redis/tests/harness/integration_1800_alert_publisher.rs	3	0	0	3	0	0	0	0	0	0	3	0
crates/adapters/series-store/src/partitioning.rs	1	1	0	1	0	0	0	0	1	0	0	0
crates/adapters/series-store/tests/harness/smoke_series_store_e2e.rs	1	0	0	1	0	0	0	0	0	0	1	0
crates/adapters/signal-delivery/src/lib.rs	1	1	0	1	0	0	0	0	1	0	0	0
crates/adapters/sizer/src/config_stop_loss.rs	1	0	1	1	0	0	0	0	0	0	1	0
crates/adapters/sizer/src/frozen_atr.rs	1	0	1	1	0	0	0	0	0	0	1	0
crates/adapters/sizer/src/sizer_factory_impl.rs	1	0	1	1	0	0	0	0	0	0	1	0
crates/adapters/sizer/tests/bdd_1081_ports_impls.rs	3	0	0	3	0	0	0	0	0	0	3	0
crates/adapters/sqlite/src/lib.rs	1	0	1	1	0	0	0	0	0	0	1	0
crates/adapters/strategy-registry/src/regime_router_tests.rs	1	0	1	1	0	0	0	0	0	0	1	0
crates/adapters/strategy-registry/src/static_registry_tests.rs	2	0	2	2	0	0	0	0	0	0	2	0
crates/adapters/timescale/src/budget_tracker.rs	1	1	0	1	0	0	0	0	1	0	0	0
crates/adapters/timescale/src/gap_policy.rs	3	3	0	3	0	0	0	0	3	0	0	0
crates/adapters/timescale/src/rate_limit_repository.rs	6	6	0	6	0	0	0	0	6	0	0	0
crates/adapters/timescale/tests/integration_budget_tracker.rs	1	0	0	1	0	0	0	0	0	0	1	0
crates/adapters/timescale/tests/integration_candle_observation.rs	6	0	0	6	0	0	0	0	0	0	6	0
crates/adapters/timescale/tests/integration_gap_policy.rs	10	0	0	10	0	0	0	0	0	0	10	0
crates/backfill/src/backfill_pipeline.rs	1	1	0	1	0	0	0	0	1	0	0	0
crates/backfill/src/backfill_tests.rs	14	0	16	14	0	0	0	0	0	0	14	0
crates/backfill/src/bootstrap_runner.rs	1	1	0	1	0	0	0	0	1	0	0	0
crates/backfill/src/budget_backfill_tests.rs	1	0	1	1	0	0	0	0	0	0	1	0
crates/backfill/src/fetch_store_backfill_tests.rs	1	0	1	1	0	0	0	0	0	0	1	0
crates/backfill/src/fetch_with_retry_tests.rs	1	0	1	1	0	0	0	0	0	0	1	0
